Date,Close,Lower Bound,Upper Bound,Middle Bound,sellSignal,buySignal
2017-01-03,1.0,,,,0,0
2017-01-04,0.9988808276068682,,,,0,0
2017-01-05,1.0039604242221958,,,,0,0
2017-01-06,1.0151528615474403,,,,0,0
2017-01-09,1.0244510685646737,,,,0,0
2017-01-10,1.0254843126592634,,,,0,0
2017-01-11,1.030994433592286,,,,0,0
2017-01-12,1.0266896808736599,,,,0,0
2017-01-13,1.0248816642217615,,,,0,0
2017-01-17,1.0331467698231906,,,,0,0
2017-01-18,1.0330607077632874,,,,0,0
2017-01-19,1.0312527535333575,,,,0,0
2017-01-20,1.0331467698231906,,,,0,0
2017-01-23,1.0338355516599886,,,,0,0
2017-01-24,1.0328885123040878,,,,0,0
2017-01-25,1.049332804125828,,,,0,0
2017-01-26,1.0498493905034265,,,,0,0
2017-01-27,1.04993545256333,,,,0,0
2017-01-30,1.0471803965555306,,,,0,0
2017-01-31,1.044769793888099,,,,0,0
2017-02-01,1.1084804016464882,0.9988808276068682,1.04993545256333,1.024408140085099,0,1
2017-02-02,1.106586394274079,0.9988808276068682,1.1084804016464882,1.0536806146266782,0,0
2017-02-03,1.111321662392976,1.0039604242221958,1.1084804016464882,1.056220412934342,0,1
2017-02-06,1.1217391844821267,1.0151528615474403,1.111321662392976,1.0632372619702082,0,1
2017-02-07,1.132415026512349,1.0244510685646737,1.1217391844821267,1.0730951265234001,0,1
2017-02-08,1.1368058412908781,1.0248816642217615,1.132415026512349,1.0786483453670552,0,1
2017-02-09,1.1450204653545277,1.0248816642217615,1.1368058412908781,1.0808437527563197,0,1
2017-02-10,1.14242644910839,1.0248816642217615,1.1450204653545277,1.0849510647881446,0,0
2017-02-13,1.1525431864829472,1.0248816642217615,1.1450204653545277,1.0849510647881446,0,1
2017-02-14,1.1675023437442802,1.0312527535333575,1.1525431864829472,1.0918979700081524,0,1
2017-02-15,1.171739127856484,1.0312527535333575,1.1675023437442802,1.0993775486388189,0,1
2017-02-16,1.170355990792831,1.0312527535333575,1.171739127856484,1.1014959406949207,0,0
2017-02-17,1.1735552415294568,1.0328885123040878,1.171739127856484,1.102313820080286,0,1
2017-02-21,1.182029086194011,1.0328885123040878,1.1735552415294568,1.1032218769167723,0,1
2017-02-22,1.1855743597376445,1.0328885123040878,1.182029086194011,1.1074587992490494,0,1
2017-02-23,1.1805591290894069,1.044769793888099,1.1855743597376445,1.115172076812872,0,0
2017-02-24,1.1816831971483648,1.044769793888099,1.1855743597376445,1.115172076812872,0,0
2017-02-27,1.1840178679496602,1.044769793888099,1.1855743597376445,1.115172076812872,0,0
2017-02-28,1.1845368352794912,1.044769793888099,1.1855743597376445,1.115172076812872,0,0
2017-03-01,1.2087478824573283,1.044769793888099,1.1855743597376445,1.115172076812872,0,1
2017-03-02,1.2015710503745554,1.106586394274079,1.2087478824573283,1.1576671383657038,0,0
2017-03-03,1.2086614815353096,1.106586394274079,1.2087478824573283,1.1576671383657038,0,0
2017-03-06,1.20485685362941,1.111321662392976,1.2087478824573283,1.1600347724251523,0,0
2017-03-07,1.2064133454173942,1.1217391844821267,1.2087478824573283,1.1652435334697275,0,0
2017-03-08,1.2019169394202016,1.132415026512349,1.2087478824573283,1.1705814544848385,0,0
2017-03-09,1.1991498448898792,1.1368058412908781,1.2087478824573283,1.1727768618741032,0,0
2017-03-10,1.2031275510799637,1.14242644910839,1.2087478824573283,1.1755871657828592,0,0
2017-03-13,1.2036462419696476,1.14242644910839,1.2087478824573283,1.1755871657828592,0,0
2017-03-14,1.2018305384981829,1.1525431864829472,1.2087478824573283,1.1806455344701376,0,0
2017-03-15,1.2145414347976633,1.1675023437442802,1.2087478824573283,1.1881251131008042,0,1
2017-03-16,1.216530082791951,1.170355990792831,1.2145414347976633,1.192448712795247,0,1
2017-03-17,1.2104774525294972,1.170355990792831,1.216530082791951,1.193443036792391,0,0
2017-03-20,1.223188482590339,1.1735552415294568,1.216530082791951,1.195042662160704,0,1
2017-03-21,1.2091804488651405,1.1805591290894069,1.223188482590339,1.201873805839873,0,0
2017-03-22,1.2228424597833314,1.1805591290894069,1.223188482590339,1.201873805839873,0,0
2017-03-23,1.2185188645476006,1.1805591290894069,1.223188482590339,1.201873805839873,0,0
2017-03-24,1.2160979265856475,1.1816831971483648,1.223188482590339,1.2024358398693518,0,0
2017-03-27,1.2181732519421014,1.1840178679496602,1.223188482590339,1.2036031752699996,0,0
2017-03-28,1.2434219573394532,1.1845368352794912,1.223188482590339,1.203862658934915,0,1
2017-03-29,1.2461890607871995,1.1991498448898792,1.2434219573394532,1.2212859011146662,0,1
2017-03-30,1.2445461680771963,1.1991498448898792,1.2461890607871995,1.2226694528385393,0,0
2017-03-31,1.2422114883584765,1.1991498448898792,1.2461890607871995,1.2226694528385393,0,0
2017-04-03,1.242557377404123,1.1991498448898792,1.2461890607871995,1.2226694528385393,0,0
2017-04-04,1.2518095348433498,1.1991498448898792,1.2461890607871995,1.2226694528385393,0,1
2017-04-05,1.2453243470905078,1.1991498448898792,1.2518095348433498,1.2254796898666145,0,0
2017-04-06,1.2422114883584765,1.1991498448898792,1.2518095348433498,1.2254796898666145,0,0
2017-04-07,1.2394445275895158,1.2018305384981829,1.2518095348433498,1.2268200366707664,0,0
2017-04-10,1.2379744367235506,1.2018305384981829,1.2518095348433498,1.2268200366707664,0,0
2017-04-11,1.2246584396949431,1.2018305384981829,1.2518095348433498,1.2268200366707664,0,0
2017-04-12,1.2261282630381856,1.2091804488651405,1.2518095348433498,1.2304949918542452,0,0
2017-04-13,1.2196430663679196,1.2091804488651405,1.2518095348433498,1.2304949918542452,0,0
2017-04-17,1.2263877422443892,1.2091804488651405,1.2518095348433498,1.2304949918542452,0,0
2017-04-18,1.220940078949701,1.2091804488651405,1.2518095348433498,1.2304949918542452,0,0
2017-04-19,1.2164436818699322,1.2091804488651405,1.2518095348433498,1.2304949918542452,0,0
2017-04-20,1.2316623272548928,1.2160979265856475,1.2518095348433498,1.2339537307144988,0,0
