Date,Price,BuySignal,SellSignal,ExitSignal
2017-01-03,112.140007,,,
2017-01-04,112.014503,,,
2017-01-05,112.584129,1,,
2017-01-06,113.839249,,,
2017-01-09,114.88195,,,
2017-01-10,114.997818,,,
2017-01-11,115.615723,,,
2017-01-12,115.132988,,,
2017-01-13,114.930237,,,
2017-01-17,115.857086,,,
2017-01-18,115.847435,,,
2017-01-19,115.644691,,,
2017-01-20,115.857086,,,
2017-01-23,115.934326,,,
2017-01-24,115.828125,,,
2017-01-25,117.672188,,,
2017-01-26,117.730118,,,
2017-01-27,117.739769,,,
2017-01-30,117.430817,,,
2017-01-31,117.160492,,,
2017-02-01,124.305,,,
2017-02-02,124.092606,,,
2017-02-03,124.623619,,,
2017-02-06,125.79184,,,
2017-02-07,126.989029,,,
2017-02-08,127.481415,,,
2017-02-09,128.402603,,,
2017-02-10,128.11171,,,
2017-02-13,129.246201,,,
2017-02-14,130.923721,,,
2017-02-15,131.398834,,,
2017-02-16,131.243729,,,
2017-02-17,131.602493,,,
2017-02-21,132.55275,,,
2017-02-22,132.950317,,,
2017-02-23,132.387909,,,
2017-02-24,132.513962,,,
2017-02-27,132.775772,,,
2017-02-28,132.833969,,,
2017-03-01,135.548996,,,
2017-03-02,134.744186,,,
2017-03-03,135.539307,,,
2017-03-06,135.112656,,,
2017-03-07,135.287201,,,
2017-03-08,134.782974,,,
2017-03-09,134.472672,,,
2017-03-10,134.918732,,,
2017-03-13,134.976898,,,
2017-03-14,134.773285,,1,
2017-03-15,136.198685,,,
2017-03-16,136.421692,,,
2017-03-17,135.74295,,,
2017-03-20,137.168365,,,
2017-03-21,135.597504,,,
2017-03-22,137.129562,,,
2017-03-23,136.644714,,,
2017-03-24,136.37323,,,
2017-03-27,136.605957,,,
2017-03-28,139.437347,,,
2017-03-29,139.74765,,,
2017-03-30,139.563416,,,
2017-03-31,139.301605,,,
2017-04-03,139.340393,,,
2017-04-04,140.37793,,,
2017-04-05,139.650681,,,
2017-04-06,139.301605,,,
2017-04-07,138.991318,,,
2017-04-10,138.826462,,1,
2017-04-11,137.333206,,,
2017-04-12,137.498032,,,
2017-04-13,136.770782,,,
2017-04-17,137.52713,,,
2017-04-18,136.916229,,,
2017-04-19,136.412003,,,
2017-04-20,138.118622,,,
2017-04-21,137.953781,,,
2017-04-24,139.282196,1,,
2017-04-25,140.145187,,,
2017-04-26,139.320984,,,
2017-04-27,139.427643,,,
2017-04-28,139.291885,,,
2017-05-01,142.132996,,,
2017-05-02,143.034805,,,
2017-05-03,142.59845,,,
2017-05-04,142.084518,,,
2017-05-05,144.440811,,,
2017-05-08,148.36792,,,
2017-05-09,149.318192,,,
2017-05-10,148.610352,,,
2017-05-11,149.895569,,,
2017-05-12,151.988968,,,
2017-05-15,151.599518,,,
2017-05-16,151.375549,,,
2017-05-17,146.29303,,,
2017-05-18,148.522705,,,
2017-05-19,149.029007,,1,
2017-05-22,149.93454,,,
2017-05-23,149.749542,,,
2017-05-24,149.301636,,,
2017-05-25,149.817673,,,
2017-05-26,149.564529,,,
2017-05-30,149.622955,,,
2017-05-31,148.736908,,,
2017-06-01,149.145844,,,
2017-06-02,151.356079,,,
2017-06-05,149.876099,,,
2017-06-06,150.382416,,,
2017-06-07,151.278198,,,
2017-06-08,150.908203,,,
2017-06-09,145.056458,,1,
2017-06-12,141.59024,,,1
2017-06-13,142.729416,,,1
2017-06-14,141.337067,,,1
2017-06-15,140.48996,,,1
2017-06-16,138.523209,,,1
2017-06-19,142.486008,,,
2017-06-20,141.19101,,,
2017-06-21,142.028366,,,
2017-06-22,141.794708,,,
2017-06-23,142.427597,,,
2017-06-26,141.979691,,,
2017-06-27,139.944733,,,
2017-06-28,141.989441,,,
2017-06-29,139.896042,,,
2017-06-30,140.227097,,1,
2017-07-03,139.720795,,,
2017-07-05,140.295242,,,
2017-07-06,138.971069,,,
2017-07-07,140.382874,,,
2017-07-10,141.2397,,,
2017-07-11,141.697327,1,,
2017-07-12,141.90181,,,
2017-07-13,143.878342,,,
2017-07-14,145.114883,,,
2017-07-17,145.62117,,,
2017-07-18,146.127518,,,
2017-07-19,147.04274,,,
2017-07-20,146.380661,,,
2017-07-21,146.312531,,,
2017-07-24,148.084564,,,
2017-07-25,148.717453,,,
2017-07-26,149.418518,,,
