Date,Close,Net,PerctChg,Open,Low,High,Volume,O-C,H-L,PercentCVol
2019-03-14 16:30,"25,709.94",-2.97,-0.01%,"25,711.53","25,709.53","25,712.21","62,981,485",-1.59,2.68,31.59%
2019-03-14 16:00,"25,712.91",-0.73,0.00%,"25,713.61","25,701.14","25,733.46","47,862,490",-0.7,32.32,167.36%
2019-03-14 15:30,"25,713.64",14.83,0.06%,"25,698.36","25,694.95","25,724.15","17,901,610",15.28,29.2,23.17%
2019-03-14 15:00,"25,698.81",-3.26,-0.01%,"25,701.85","25,673.70","25,706.05","14,533,927",-3.04,32.35,16.13%
2019-03-14 14:30,"25,702.07",8.76,0.03%,"25,693.25","25,682.25","25,706.61","12,514,884",8.82,24.36,15.76%
2019-03-14 14:00,"25,693.31",-20.27,-0.08%,"25,713.76","25,683.57","25,720.67","10,811,151",-20.45,37.1,9.76%
2019-03-14 13:30,"25,713.58",-1.24,0.00%,"25,715.10","25,695.96","25,717.07","9,849,658",-1.52,21.11,-8.22%
2019-03-14 13:00,"25,714.82",-6.97,-0.03%,"25,721.91","25,709.90","25,730.47","10,732,353",-7.09,20.57,-22.78%
2019-03-14 12:30,"25,721.79",-9.64,-0.04%,"25,732.09","25,709.81","25,749.89","13,899,288",-10.3,40.08,-12.12%
2019-03-14 12:00,"25,731.43",30.59,0.12%,"25,700.70","25,690.42","25,752.84","15,816,051",30.73,62.42,-0.15%
2019-03-14 11:30,"25,700.84",7.15,0.03%,"25,694.65","25,674.24","25,724.98","15,839,878",6.19,50.74,-18.02%
2019-03-14 11:00,"25,693.69",34.13,0.13%,"25,659.52","25,651.55","25,696.20","19,322,735",34.17,44.65,1.97%
2019-03-14 10:30,"25,659.56",-38.49,-0.15%,"25,696.05","25,621.31","25,696.60","18,948,880",-36.49,75.29,-38.60%
2019-03-14 10:00,"25,698.05",-4.84,-0.02%,"25,692.31","25,686.80","25,732.35","30,862,331",5.74,45.55,11629.24%
2019-03-13 17:00,"25,702.89",0,0.00%,"25,702.89","25,702.89","25,702.89","263,123",0,0,-99.55%
2019-03-13 16:30,"25,702.89",-0.68,0.00%,"25,704.65","25,702.89","25,704.65","58,235,026",-1.76,1.76,28.29%
2019-03-13 16:00,"25,703.57",38.07,0.15%,"25,662.03","25,652.20","25,716.28","45,393,681",41.54,64.08,101.55%
2019-03-13 15:30,"25,665.50",13.42,0.05%,"25,651.98","25,629.88","25,679.70","22,521,924",13.52,49.82,-15.27%
2019-03-13 15:00,"25,652.08",-63.5,-0.25%,"25,714.83","25,571.31","25,714.83","26,579,571",-62.75,143.52,62.43%
2019-03-13 14:30,"25,715.58",-20.09,-0.08%,"25,736.17","25,705.22","25,776.49","16,364,024",-20.59,71.27,25.83%
2019-03-13 14:00,"25,735.67",-0.33,0.00%,"25,736.49","25,707.27","25,740.35","13,004,625",-0.82,33.08,8.93%
2019-03-13 13:30,"25,736.00",7.71,0.03%,"25,728.39","25,724.41","25,742.96","11,938,191",7.61,18.55,0.58%
2019-03-13 13:00,"25,728.29",19.79,0.08%,"25,708.56","25,691.09","25,732.92","11,869,314",19.73,41.83,-24.25%
