Date,Close,Net,PerctChg,Open,Low,High,Volume,O-C,H-L,PercentCVol
2019-03-14 16:30,7630.91,-0.463,-0.0001,7630.58,7630.58,7630.91,145588149,0.334,0.334,0.6705
2019-03-14 16:00,7631.37,-3.256,-0.0004,7634.65,7629.21,7642.68,87151470,-3.278,13.474,2.3748
2019-03-14 15:30,7634.63,0.366,0,7634.29,7631.76,7638.42,25824475,0.343,6.657,0.1618
2019-03-14 15:00,7634.26,-3.77,-0.0005,7638.01,7629.66,7638.02,22227625,-3.742,8.357,0.0907
2019-03-14 14:30,7638.03,3.626,0.0005,7634.39,7632.4,7639.46,20378872,3.648,7.065,0.0302
2019-03-14 14:00,7634.41,-10.126,-0.0013,7644.54,7632.84,7645.92,19780814,-10.137,13.083,0.1301
2019-03-14 13:30,7644.53,-0.447,-0.0001,7644.98,7640.07,7645.3,17502893,-0.444,5.231,-0.154
2019-03-14 13:00,7644.98,-0.188,0,7645.18,7643.68,7650.8,20688186,-0.195,7.116,-0.1135
2019-03-14 12:30,7645.17,-2.472,-0.0003,7647.61,7642.2,7653.1,23336122,-2.438,10.899,-0.1116
2019-03-14 12:00,7647.64,11.165,0.0015,7636.47,7634.35,7649.38,26267934,11.174,15.028,-0.0845
2019-03-14 11:30,7636.48,0.113,0,7636.34,7632.34,7644.13,28691749,0.139,11.783,-0.1291
2019-03-14 11:00,7636.36,-2.371,-0.0003,7638.71,7629.81,7646.16,32945846,-2.344,16.351,-0.1406
2019-03-14 10:30,7638.73,-11.473,-0.0015,7649.97,7627.02,7649.97,38337837,-11.236,22.949,-0.5252
2019-03-14 10:00,7650.21,6.801,0.0009,7644.79,7632.66,7652.34,80749250,5.42,19.68,3073.9905
2019-03-13 20:30,7643.41,0,0,7643.41,7643.41,7643.41,26260,0,0,-0.7562
2019-03-13 20:00,7643.41,0,0,7643.41,7643.41,7643.41,107711,0,0,-0.0192
2019-03-13 19:30,7643.41,0,0,7643.41,7643.41,7643.41,109815,0,0,-0.1469
2019-03-13 19:00,7643.41,0,0,7643.41,7643.41,7643.41,128728,0,0,0.6028
2019-03-13 18:30,7643.41,0,0,7643.41,7643.41,7643.41,80315,0,0,-0.3453
2019-03-13 18:00,7643.41,0,0,7643.41,7643.41,7643.41,122666,0,0,-0.4859
2019-03-13 17:30,7643.41,0,0,7643.41,7643.41,7643.41,238600,0,0,-0.3858
2019-03-13 17:00,7643.41,0,0,7643.41,7643.41,7643.41,388480,0,0,-0.9976
2019-03-13 16:30,7643.41,0.287,0,7643.39,7643.39,7643.41,160903076,0.016,0.016,0.9024
2019-03-13 16:00,7643.12,-8.876,-0.0012,7651.46,7639.37,7658.2,84580597,-8.343,18.826,1.8845
2019-03-13 15:30,7651.99,-5.879,-0.0008,7657.77,7647.01,7659.23,29322514,-5.778,12.22,0.0572
2019-03-13 15:00,7657.87,-12.695,-0.0017,7670.53,7644.58,7670.53,27735519,-12.656,25.951,0.1603
2019-03-13 14:30,7670.57,2.746,0.0004,7668.78,7668.28,7677.07,23904579,1.79,8.79,0.1194
2019-03-13 14:00,7667.82,5.457,0.0007,7662.39,7661.35,7667.82,21353875,5.429,6.47,0.0617
2019-03-13 13:30,7662.37,3.337,0.0004,7659.03,7657.64,7664.46,20112809,3.334,6.817,-0.1361
2019-03-13 13:00,7659.03,2.152,0.0003,7656.89,7653.93,7661.86,23281390,2.137,7.923,-0.0469
2019-03-13 12:30,7656.88,-4.038,-0.0005,7660.9,7653.19,7666.11,24427019,-4.028,12.912,-0.0703
2019-03-13 12:00,7660.91,-5.934,-0.0008,7666.96,7657.46,7669.67,26273319,-6.041,12.206,-0.1406
2019-03-13 11:30,7666.85,17.539,0.0023,7648.57,7648.4,7668.33,30570424,18.283,19.933,-0.0936
2019-03-13 11:00,7649.31,18.515,0.0024,7630.68,7630.68,7649.84,33725539,18.627,19.161,-0.1553
2019-03-13 10:30,7630.79,-3.944,-0.0005,7634.8,7629.52,7639.82,39924948,-4.007,10.303,-0.4508
2019-03-13 10:00,7634.74,43.707,0.0058,7621.38,7619.46,7641.83,72690912,13.361,22.369,11088.384
2019-03-12 20:30,7591.03,0,0,7591.03,7591.03,7591.03,6555,0,0,-0.9048
2019-03-12 20:00,7591.03,0,0,7591.03,7591.03,7591.03,68880,0,0,0.3583
2019-03-12 19:30,7591.03,0,0,7591.03,7591.03,7591.03,50712,0,0,-0.0467
2019-03-12 19:00,7591.03,0,0,7591.03,7591.03,7591.03,53196,0,0,-0.2313
2019-03-12 18:30,7591.03,0,0,7591.03,7591.03,7591.03,69206,0,0,-0.4515
2019-03-12 18:00,7591.03,0,0,7591.03,7591.03,7591.03,126177,0,0,-0.266
2019-03-12 17:30,7591.03,0,0,7591.03,7591.03,7591.03,171904,0,0,0.1225
2019-03-12 17:00,7591.03,0,0,7591.03,7591.03,7591.03,153143,0,0,-0.9986
2019-03-12 16:30,7591.03,0.526,0.0001,7591.31,7591.03,7591.31,113296819,-0.278,0.278,0.5815
2019-03-12 16:00,7590.51,2.24,0.0003,7588.29,7583.1,7598.6,71638319,2.216,15.504,1.4932
2019-03-12 15:30,7588.27,-15.21,-0.002,7603.48,7579.86,7603.5,28733201,-15.215,23.646,0.3167
2019-03-12 15:00,7603.48,4.068,0.0005,7599.53,7598.66,7604.58,21822183,3.949,5.923,0.0706
