Date,Price,BuySignal,SellSignal,ExitSignal
2018-12-14 17:00:00,6910.67,,,
2018-12-14 17:30:00,6910.67,,,
2018-12-14 18:00:00,6910.67,,,
2018-12-14 18:30:00,6910.67,,,
2018-12-14 19:00:00,6910.67,,,
2018-12-14 19:30:00,6910.67,,,
2018-12-14 20:00:00,6910.67,,,
2018-12-14 20:30:00,6910.67,,,
2018-12-17 10:00:00,6842.95,,,
2018-12-17 10:30:00,6879.22,,,
2018-12-17 11:00:00,6892.69,,,
2018-12-17 11:30:00,6912.39,,,
2018-12-17 12:00:00,6922.04,,,
2018-12-17 12:30:00,6898.58,1,,
2018-12-17 13:00:00,6844.45,,,
2018-12-17 13:30:00,6832.67,,1,
2018-12-17 14:00:00,6801.84,,,
2018-12-17 14:30:00,6777.78,,,
2018-12-17 15:00:00,6778.08,,,
2018-12-17 15:30:00,6737.37,,,
2018-12-17 16:00:00,6755.44,,,
2018-12-17 16:30:00,6753.73,,,
2018-12-17 17:00:00,6753.73,,,
2018-12-17 17:30:00,6753.73,,,
2018-12-17 18:00:00,6753.73,,,
2018-12-17 18:30:00,6753.73,,,
2018-12-17 19:00:00,6753.73,,,
2018-12-17 19:30:00,6753.73,,,
2018-12-17 20:00:00,6753.73,1,,
2018-12-17 20:30:00,6753.73,,1,
2018-12-18 10:00:00,6834.42,1,,
2018-12-18 10:30:00,6820.37,,,
2018-12-18 11:00:00,6813.25,,,
2018-12-18 11:30:00,6787.83,,,
2018-12-18 12:00:00,6797.67,,,
2018-12-18 12:30:00,6832.62,,,
2018-12-18 13:00:00,6842.47,,,1
2018-12-18 13:30:00,6826.92,,,1
2018-12-18 14:00:00,6799.78,,,
2018-12-18 14:30:00,6812.46,,,
2018-12-18 15:00:00,6749.02,,1,
2018-12-18 15:30:00,6756.44,,,
2018-12-18 16:00:00,6783.46,,,
2018-12-18 16:30:00,6783.91,,,
2018-12-18 17:00:00,6783.91,,,
2018-12-18 17:30:00,6783.91,,,
2018-12-18 18:00:00,6783.91,,,
2018-12-18 18:30:00,6783.91,1,,
2018-12-18 19:00:00,6783.91,,,
2018-12-18 19:30:00,6783.91,,,
2018-12-18 20:00:00,6783.91,,,
2018-12-18 20:30:00,6783.91,,,
2018-12-19 10:00:00,6843.99,,,
2018-12-19 10:30:00,6851.08,,,1
2018-12-19 11:00:00,6850.16,,,1
2018-12-19 11:30:00,6825.29,,,
2018-12-19 12:00:00,6848.36,,,
2018-12-19 12:30:00,6854.65,,,1
2018-12-19 13:00:00,6837.13,,,
2018-12-19 13:30:00,6822.33,,,
2018-12-19 14:00:00,6859.85,,,
2018-12-19 14:30:00,6791.28,,1,
2018-12-19 15:00:00,6674.58,,,
2018-12-19 15:30:00,6624.16,,,
2018-12-19 16:00:00,6634.99,,,
2018-12-19 16:30:00,6636.83,,,
2018-12-19 17:00:00,6636.83,,,
2018-12-19 17:30:00,6636.83,,,
